UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0171463Y,UNIVERSITE DE LA ROCHELLE,4143,,46-1,PR,Non,21,,,01/09/2020,12/02/2020,13/03/2020,Enseignement: Histoire de l¿Occident médiéval. Recherche: Europe atlantique médiévale (thématiques d¿ESTRAN/LIENSs-UMR 7266).Expérience dans les humanités numériques. Gestion du département SHS.,La Rochelle Universite,
0211237F,UNIVERSITE DE DIJON,4480 *,0105,46-1,PR,Non,21,,,01/09/2020,25/02/2020,26/03/2020,Histoire de l'art médiéval,Dijon,S
0311383K,UNIVERSITE TOULOUSE 2,4544,,46-1,PR,Non,21,,,01/09/2020,10/02/2020,12/03/2020,Histoire romaine. Rome et les provinces occidentales (Ier-IIIe s. d.n.è,TOULOUSE,
0311383K,UNIVERSITE TOULOUSE 2,4545,,46-1,PR,Non,21,,,01/09/2020,10/02/2020,12/03/2020,Histoire du Moyen Age occidental (Xe-XVe siècles),TOULOUSE,
0350937D,UNIVERSITE RENNES 2,4382 *,,46-1,PR,Non,21,,,01/09/2020,25/02/2020,26/03/2020,Histoire et archéologie médiévales,Rennes et Saint-Brieuc,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4454 *,,46-1,PR,Non,21,,,01/09/2020,25/02/2020,26/03/2020,Archéologie et Histoire de l¿art grecques,Lyon et Bron,S
0730858L,UNIVERSITE DE SAVOIE MONT-BLANC,4277 *,495,46-3,PR,Non,21,,,01/09/2020,25/02/2020,26/03/2020,"E:Enseignement de l'histoire de l'Occident médiéval au sein du département d'histoire de l'UFR LLSH.R:Intégration à l'axe 1 ""Héritages,milieux,médiations"".",CHAMBERY,S
0751717J,UNIVERSITE PARIS 1 (PANTHEON-SORBONNE),4569 *,1773,46-1,PR,Non,21,,,01/09/2020,25/02/2020,26/03/2020,Histoire médiévale des pays d'Islam,Centre Pantheon,
0755890V,UNIVERSITE SORBONNE UNIVERSITE,208,,46-1,PR,Non,21,,,01/09/2020,31/01/2020,05/03/2020,Professeur d'Histoire de l'art et archéologie des mondes de l'Islam,3 rue Michelet,
0755890V,UNIVERSITE SORBONNE UNIVERSITE,210,,46-1,PR,Non,21,,,01/09/2020,31/01/2020,05/03/2020,Archéologie et histoire de l'art de l'Orient ancien,3 rue Michelet,
0755890V,UNIVERSITE SORBONNE UNIVERSITE,212,,46-1,PR,Non,21,,,01/09/2020,31/01/2020,05/03/2020,"Histoire de l'art et archéologie des mondes celte.Enseignement et direction de recherches en histoire de l'art et en archéologie sur les mondes celtes, continentaux et insulaires",3 rue Michelet,
0860856N,UNIVERSITE DE POITIERS,4643 *,,46-1,PR,Non,21,,,01/09/2020,25/02/2020,26/03/2020,Histoire grecque,Poitiers,
0141408E,UNIVERSITE DE CAEN,4456 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Histoire des temps modernes,CAEN,
0211237F,UNIVERSITE DE DIJON,4479 *,1477,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Histoire sociale et politique de la France et de l'Europe, 1830-1930",Dijon,
0251215K,UNIVERSITE DE BESANCON,4526 *,0093,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Histoire du XX°siècle,BESANCON,
0370800U,UNIVERSITE DE TOURS,4465,0058,46-1,PR,Non,22,,,01/09/2020,06/02/2020,09/03/2020,Histoire de la seconde modernité (18e siècle),TOURS,
0370800U,UNIVERSITE DE TOURS,4466,0840,46-1,PR,Non,22,,,01/09/2020,06/02/2020,09/03/2020,Histoire du XXe siècle. Europe et Mondes méditerranéens,TOURS,
0450855K,UNIVERSITE D'ORLEANS,4421 *,PR0184,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Histoire politique des XXème et XXIème siècles en Europe,UFR LLSH - ORLEANS,
0542493S,UNIVERSITE DE LORRAINE,1303 *,22PR0884,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Histoire de l'art contemporain (XXe et XXIe siècles), sauf architecture.",NANCY,
0561718N,UNIVERSITE DE BRETAGNE SUD (LORIENT),4153 *,0424,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Histoire maritime XIXe-XXe s.,Lorient,
0595964M,UNIVERSITE DU LITTORAL,4271 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Histoire contemporaine en L1, L2, L3, préparation CAPES, Master 1 et 2 (recherche et enseignement),Doctorat.",BOULOGNE SUR MER/DUNKERQUE,
0623957P,UNIVERSITE D'ARTOIS,4336 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Enseignement : Licence d'histoire, Masters Recherche et Gestion du Patrimoine Culturel, préparation Concours. Recherche : histoire sociale et culturelle XVIIe-XVIIIe siècle, principalement en Europe",ARRAS,
0673021V,UNIVERSITE DE STRASBOURG,4625 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Histoire de l'art contemporain, XIXe-XXe siècles",Strasbourg,
0690173N,I.E.P DE LYON,4070 *,2200,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,"Histoire de la France au XXe siècle, histoire des femmes et du genretoutes les précisions nécessaires sur le poste sont incluses dans le pdf joint",14 avenue Berthelot,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4455 *,,46-1,PR,Non,22,,,01/09/2020,25/02/2020,26/03/2020,Histoire moderne,Lyon et Bron,S
