"UAI","Etablissement","Référence GALAXIE","N° dans le SI local","Article","Corps","Chaire","Section","Section2","Section3","Date de prise de fonction","Date ouverture cand","Date clôture cand","Profil","Localisation","Etat de vacance"
"0251215K","UNIVERSITE DE BESANCON","4446 * ","0517","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie clinique de la famille ","BESANCON",""
"0251215K","UNIVERSITE DE BESANCON","4447 * ","1040","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie cognitive","BESANCON",""
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4329 * ","1600MCF0069","26-I-1","MCF","Non","16","70","","01/09/2018","22/02/2018","29/03/2018","Psychologie de l éducation et sciences de l éducation","Vannes et Lorient","S"
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4337 * ","1600MCF1127","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Recherche en modèles statistiques et méthodologiques appliqués à la psychologie","Brest",""
"0311383K","UNIVERSITE TOULOUSE 2","4429","","26-I-1","MCF","Non","16","","","01/09/2018","15/02/2018","19/03/2018","Psychologie cognitive et ergonomie","Toulouse",""
"0333298F","UNIVERSITE DE BORDEAUX","340","739","26-I-1","MCF","Non","16","","","01/09/2018","06/02/2018","08/03/2018","Psychologie sociale","BORDEAUX VICTOIRE",""
"0341089Z","UNIVERSITE MONTPELLIER 3 (PAUL VALERY)","4221 * ","113","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie Sociale du Travail et des Organisations","Montpellier",""
"0350937D","UNIVERSITE RENNES 2","4300 * ","0264","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie clinique et vulnérabilités","RENNES",""
"0370770L","UNIVERSITE DE TOURS (IUT TOURS)","4393","0736","26-I-1","MCF","Non","16","","","01/09/2018","09/02/2018","12/03/2018","Psychologie du travail Psychologie sociale","IUT de Tours",""
"0370800U","UNIVERSITE DE TOURS","4380","0800","26-I-1","MCF","Non","16","","","01/09/2018","09/02/2018","12/03/2018","Psychologie gérontologique","Tours",""
"0383493R","UNIVERSITE GRENOBLE ALPES","316 * ","","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie clinique","Grenoble","S"
"0440984F","UNIVERSITE DE NANTES","4445 * ","2232","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychopathologie quantitative et santé","Nantes",""
"0450855K","UNIVERSITE D'ORLEANS","4318 * ","MCF0142","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Maître de conférences en psychologie","ESPE Centre Val de Loire - BLOIS",""
"0511296G","UNIVERSITE DE REIMS","4314 * ","16MCF1231","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie clinique et psychopathologie","REIMS",""
"0511296G","UNIVERSITE DE REIMS","4321 * ","16MCF0586","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie sociale expérimentale","REIMS",""
"0511296G","UNIVERSITE DE REIMS","4328 * ","30","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie du développement de l¿enfant.Psychologie du développement social/cognitif","TROYES",""
"0542493S","UNIVERSITE DE LORRAINE","1075 * ","16MCF0107","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie du développement ¿ enfance - petite enfance ","NANCY - METZ",""
"0542493S","UNIVERSITE DE LORRAINE","1077 * ","16MCF0051","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie clinique et sociale ¿ adolescents et jeunes adultes","NANCY-MAXEVILLE",""
"0542493S","UNIVERSITE DE LORRAINE","1099 * ","16/19/22MCF2016","26-I-1","MCF","Non","16","19","22","01/09/2018","22/02/2018","29/03/2018","Radicalisation : société, politique, religion ; identités collectivesSection CNU : 16 - 19 - 22 - 71 - 76","METZ",""
"0597065J","UNIVERSITE DE LILLE","69 * ","","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie et justice.","VILLENEUVE D'ASCQ",""
"0597065J","UNIVERSITE DE LILLE","70 * ","","26-I-1","MCF","Non","16","","","01/09/2018","22/02/2018","29/03/2018","Psychologie du langage.","VILLENEUVE D'ASCQ",""
