"Rentrée";"Type";"UAI";"Etablissement";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2019";"Université";"0623957P";"UNIVERSITE D'ARTOIS";7;5;236;95;0,0211480362537764;0,0211864406779661
"2019";"Université";"0632035V";"UNIVERSITE CLERMONT AUVERGNE";17;12;722;366;0,015625;0,0166204986149584
"2019";"Université";"0640251A";"UNIVERSITE DE PAU";4;2;303;138;0,0090702947845805;0,0066006600660066
"2019";"Université";"0660437S";"UNIVERSITE DE PERPIGNAN (VIA DOMITIA)";6;2;199;84;0,0212014134275618;0,0100502512562814
"2019";"Université";"0673021V";"UNIVERSITE DE STRASBOURG";36;22;887;616;0,0239520958083832;0,0248027057497181
"2019";"Université";"0681166Y";"UNIVERSITE DE MULHOUSE";8;5;235;92;0,0244648318042813;0,0212765957446809
"2019";"Université";"0691774D";"UNIVERSITE LYON 1 (CLAUDE BERNARD)";12;1;860;562;0,00843881856540084;0,00116279069767442
"2019";"Université";"0691775E";"UNIVERSITE LYON 2 (LUMIERE)";21;16;357;182;0,038961038961039;0,0448179271708683
"2019";"Université";"0692437Z";"UNIVERSITE LYON 3 (JEAN MOULIN)";11;6;266;136;0,027363184079602;0,0225563909774436
"2019";"Université";"0720916E";"UNIVERSITE DU MANS";3;0;241;105;0,00867052023121387;0
"2019";"Université";"0730858L";"UNIVERSITE DE SAVOIE MONT-BLANC";10;5;267;116;0,0261096605744125;0,0187265917602996
"2019";"Université";"0751717J";"UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)";25;14;434;288;0,0346260387811634;0,032258064516129
"2019";"Université";"0751718K";"UNIVERSITE PARIS 2 (PANTHEON-ASSAS)";9;7;117;135;0,0357142857142857;0,0598290598290598
"2019";"Université";"0751719L";"UNIVERSITE PARIS 3 (SORBONNE NOUVELLE)";6;8;258;138;0,0151515151515152;0,0310077519379845
"2019";"Université";"0751721N";"UNIVERSITE PARIS 5 (RENE DESCARTES)";23;8;608;547;0,0199134199134199;0,0131578947368421
"2019";"Université";"0751723R";"UNIVERSITE PARIS 7 (DENIS DIDEROT)";29;11;680;568;0,0232371794871795;0,0161764705882353
"2019";"Université";"0755890V";"UNIVERSITE SORBONNE UNIVERSITE";30;25;1393;914;0,0130039011703511;0,0179468772433597
"2019";"Université";"0761904G";"UNIVERSITE DE ROUEN";9;7;545;318;0,0104287369640788;0,0128440366972477
"2019";"Université";"0762762P";"UNIVERSITE DU HAVRE";6;3;187;65;0,0238095238095238;0,0160427807486631
"2019";"Université";"0772502B";"UNIVERSITE PARIS EST MARNE LA VALLEE";16;5;199;95;0,054421768707483;0,0251256281407035
"2019";"Université";"0781944P";"UNIVERSITE VERSAILLES/SAINT-QUENTIN";7;6;282;234;0,0135658914728682;0,0212765957446809
"2019";"Université";"0801344B";"UNIVERSITE D'AMIENS";16;8;547;238;0,0203821656050955;0,0146252285191956
"2019";"Université";"0830766G";"UNIVERSITE DE TOULON (VAR)";10;1;222;77;0,0334448160535117;0,0045045045045045
"2019";"Université";"0840685N";"UNIVERSITE D'AVIGNON";5;4;169;50;0,0228310502283105;0,0236686390532544
"2019";"Université";"0860856N";"UNIVERSITE DE POITIERS";21;11;624;319;0,0222693531283139;0,0176282051282051
"2019";"Université";"0870669E";"UNIVERSITE DE LIMOGES";6;9;379;220;0,010016694490818;0,0237467018469657
"2019";"Université";"0911101C";"UNIVERSITE PARIS 11";24;13;836;493;0,018058690744921;0,0155502392344498
"2019";"Université";"0911975C";"UNIVERSITE D'EVRY VAL D'ESSONNE";3;7;178;77;0,0117647058823529;0,0393258426966292
"2019";"Université";"0921204J";"UNIVERSITE PARIS 10 (NANTERRE)";22;13;547;259;0,0272952853598015;0,0237659963436929
"2019";"Université";"0931238R";"UNIVERSITE PARIS 13";13;6;489;233;0,018005540166205;0,0122699386503067
"2019";"Université";"0931827F";"UNIVERSITE PARIS 8";4;0;445;206;0,00614439324116743;0
"2019";"Université";"0941111X";"UNIVERSITE PARIS EST CRETEIL (PARIS 12";16;11;524;303;0,0193470374848851;0,0209923664122137
"2019";"Université";"0951793H";"UNIVERSITE DE CERGY-PONTOISE";17;10;303;136;0,0387243735763098;0,033003300330033
"2019";"Université";"7200664J";"UNIVERSITE DE CORTE";1;0;121;40;0,0062111801242236;0
"2019";"Université";"9710585J";"UNIVERSITE DES ANTILLES";6;7;197;84;0,0213523131672598;0,0355329949238579
"2019";"Université";"9730429D";"UNIVERSITE DE LA GUYANE";5;2;53;6;0,0847457627118644;0,0377358490566038
"2019";"Université";"9740478B";"UNIVERSITE DE LA REUNION";8;2;230;107;0,0237388724035608;0,00869565217391304
"2019";"Université";"9840349G";"UNIVERSITE DE POLYNESIE FRANCAISE";1;2;50;12;0,0161290322580645;0,04
"2020";"Autre établissement";"0811293R";"INSTITUT NATIONAL UNIV. D'ALBI";4;2;63;11;0,0540540540540541;0,0317460317460317
"2020";"Autre établissement";"9760358K";"CUFR  DE MAYOTTE";6;0;6;0;1;0
"2020";"École d'ingénieurs";"0632033T";"ECOLE D'INGENIEURS SIGMA CLERMONT";3;1;38;18;0,0535714285714286;0,0263157894736842
"2020";"École normale supérieure";"0352440M";"ECOLE NORMALE SUPERIEURE DE RENNES";0;2;10;12;0;0,2
"2020";"École normale supérieure";"0694123G";"ECOLE NORMALE SUPERIEURE DE LYON";3;3;97;66;0,0184049079754601;0,0309278350515464
"2020";"École normale supérieure";"0753455Y";"ECOLE NORMALE SUPERIEURE DE PARIS";0;3;66;35;0;0,0454545454545455
"2020";"École normale supérieure";"0940607Z";"ENS PARIS-SACLAY";2;3;60;53;0,0176991150442478;0,05
"2020";"Écoles habilitées à délivrer un diplôme d'ingénieur";"0951376E";"ENSEA DE CERGY";2;1;24;8;0,0625;0,0416666666666667
"2020";"Écoles nationales supérieures d'ingénieurs";"0141720U";"ENSI CAEN";0;1;29;18;0;0,0344827586206897
"2020";"Écoles nationales supérieures d'ingénieurs";"0250082D";"ENS MECANIQUE & MICROTECH. BESANCON";0;1;28;21;0;0,0357142857142857
"2020";"Écoles nationales supérieures d'ingénieurs";"0340112M";"ENS DE CHIMIE DE MONTPELLIER";2;1;25;12;0,0540540540540541;0,04
"2020";"Écoles nationales supérieures d'ingénieurs";"0350077U";"ENS DE CHIMIE DE RENNES";0;1;17;12;0;0,0588235294117647
"2020";"Écoles nationales supérieures d'ingénieurs";"0650048Z";"ENI DE TARBES";1;0;36;17;0,0188679245283019;0
"2020";"Écoles nationales supérieures d'ingénieurs";"0912266U";"ENS IIE";3;1;13;6;0,157894736842105;0,0769230769230769
"2020";"Grand établissement";"0212198A";"AGROSUP DIJON (INSSAAE)";0;1;16;11;0;0,0625
"2020";"Grand établissement";"0333232J";"INP DE BORDEAUX";1;0;108;72;0,00555555555555556;0
"2020";"Grand établissement";"0381912X";"INP DE GRENOBLE";6;4;174;123;0,0202020202020202;0,0229885057471264
"2020";"Grand établissement";"0542493S";"UNIVERSITE DE LORRAINE";39;29;1435;769;0,0176950998185118;0,0202090592334495
"2020";"Grand établissement";"0692459Y";"E.N.S.S.I.B DE LYON";0;2;5;4;0;0,4
"2020";"Grand établissement";"0750736T";"UNIVERSITE PARIS-DAUPHINE";5;2;186;100;0,0174825174825175;0,010752688172043
"2020";"Grand établissement";"0753237L";"ENSAM";1;2;156;65;0,00452488687782805;0,0128205128205128
"2020";"Grand établissement";"0753431X";"I.E.P DE PARIS";0;2;3;56;0;0,666666666666667
