"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0060931E";"Université";"PR";58;"58-Réhabilitation orale";"Odontologie";"Odontologie";5
"0060931E";"Université";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0060931E";"Université";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";9
"0060931E";"Université";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";11
"0060931E";"Université";"PR";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0060931E";"Université";"PR";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0060931E";"Université";"PR";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";4
"0060931E";"Université";"PR";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";3
"0060931E";"Université";"PR";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";2
"0060931E";"Université";"PR";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";3
"0060931E";"Université";"PR";71;"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";5
"0060931E";"Université";"PR";73;"73-Cultures et langues régionales";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
"0060931E";"Université";"PR";74;"74-Sciences et techniques des activités physiques et sportives";"Groupe pluridisciplinaire";"Lettres et sciences humaines";6
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";16;"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";1
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";2
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";2
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";14
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";3
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";6
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";1
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";13
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";71;"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";2
"0101060Y";"Instituts et écoles extérieurs aux universités";"MCF";72;"72-Epistémologie, histoire des sciences et des techniques";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1
